path	sha256	owner	purpose	decision
codebase/ERIC-Gesture-Lab/unitree_mujoco/unitree_robots/g1/meshes/waist_roll_link.STL	34f0aa73f41131230be4d25876c944fdf6c24d62553f199ff8b980c15e8913df	project (tracked)	robot model mesh	keep
codebase/ERIC-Gesture-Lab/unitree_mujoco/unitree_robots/g1/meshes/waist_support_link.STL	1fae9e1bb609848a1667d32eed8d6083ae443538a306843056a2a660f1b2926a	project (tracked)	robot model mesh	keep
codebase/ERIC-Gesture-Lab/unitree_mujoco/unitree_robots/g1/meshes/waist_yaw_link.STL	2883f20e03f09b669b5b4ce10677ee6b5191c0934b584d7cbaef2d0662856ffb	project (tracked)	robot model mesh	keep
codebase/ERIC-Gesture-Lab/unitree_mujoco/unitree_robots/g1/scene.xml	a05f5b2f5d166c5b5ad4766a404eab7f5c6071245b7d658551139236d38eb63d	project (tracked)	MuJoCo model definition	keep
codebase/ERIC-Gesture-Lab/unitree_mujoco/unitree_robots/g1/scene_23dof.xml	58436a034c2548b3cd3935d1e5c6d3e22d93e0105c6b6a4d82f36185c94dce7d	project (tracked)	MuJoCo model definition	keep
codebase/ERIC-Gesture-Lab/unitree_mujoco/unitree_robots/g1/scene_29dof.xml	e254f11acce2ec6f6efa5bf9b15e288bbd0ca29aeeabb1e1d0fea92f65436bbf	project (tracked)	MuJoCo model definition	keep
codebase/ERIC-Gesture-Lab/unitree_mujoco/unitree_robots/g1/unitree_hfield.png	8a3f9777e096c5e8b6a5f8b2ca9382d5b25e2cacc15be7b5ac41f1e432e61a6c	project (tracked)	image or UI capture	keep
codebase/ERIC-Gesture-Lab/venv-motionstudio-packages-before-repair.txt	c0b148df23a2c751649496f765eba6995f78862b47e444be171689d0e6e5d8d3	user working tree	environment repair diagnostic inventory	archive candidate; preserved pending owner approval
docs/artifact-review.md	17a0fc2bb8e2977b2fdddf870e6e089973f4c98516c198a845af53b4dc25c463	project (Phase 0)	project documentation	keep
docs/phase-0-baseline.md	0793a610d298f5e392ff7bb07fc21e79e9bafdfa291af5ce37e5bdbab69c33b5	project (Phase 0)	project documentation	keep
tests/fixtures/command-audit-markers.txt	9b784eb46b29dcb66f4ef2ebf60a22bbe627ff56f7e87b132ccfa1ed0481f057	project (Phase 0)	regression test or fixture	keep
tests/fixtures/self-test-markers.txt	51435bfc8bd8664474b49a58c2ed4b6b6c9744f6ec07e9f6afc71475c96b5245	project (Phase 0)	regression test or fixture	keep
tests/legacy_support.py	538a3c08fdaf3f150be7439381036f49abdd55d909eb6664d19a115189600f70	project (Phase 0)	regression test or fixture	keep
tests/test_legacy_characterization.py	4a0fa27177e3dfc9caa2b3d9885d63524c9df080ffadaa898a107626e89ce52e	project (Phase 0)	regression test or fixture	keep
tests/test_legacy_cli.py	56e139b2cc11f81b002a1335b8c613b0ba40ac2fb79825eaf4454e2e56aa5294	project (Phase 0)	regression test or fixture	keep
tools/build_artifact_inventory.py	b1fe0ce22145d186c02c1b10946fc18be2cf642326048788f438b575540f8a7b	project (Phase 0)	Python source	keep
